episode_group_id,n,lie,truth,accuracy,balanced_accuracy,precision_lie,recall_lie,f1_lie,macro_f1,auc_roc,tn,fp,fn,tp,score_mean,score_std,pred_lie_rate
BRI_EP58,34,22,12,0.4411764705882353,0.4545454545454546,0.6,0.4090909090909091,0.4864864864864865,0.43679163034001744,0.571969696969697,6,6,13,9,0.5492569139733368,0.10035947439240987,0.4411764705882353
BRI_EP61,34,19,15,0.5882352941176471,0.6105263157894737,0.7272727272727273,0.42105263157894735,0.5333333333333333,0.5824561403508772,0.7263157894736842,12,3,11,8,0.5133429677470002,0.08830482952771625,0.3235294117647059
SB_EP42,33,16,17,0.6363636363636364,0.6323529411764706,0.6666666666666666,0.5,0.5714285714285715,0.6278195488721805,0.6066176470588236,13,4,8,8,0.5013578576195723,0.08990916104396618,0.36363636363636365
BRI_EP57,32,10,22,0.5625,0.5454545454545454,0.35714285714285715,0.5,0.41666666666666663,0.5333333333333333,0.6318181818181818,13,9,5,5,0.5384607947741945,0.08398785998791962,0.4375
BRI_EP62,31,12,19,0.6129032258064516,0.5614035087719298,0.5,0.3333333333333333,0.4,0.5571428571428572,0.7850877192982456,15,4,8,4,0.5208092986690467,0.09495348844006991,0.25806451612903225
YW_EP50,30,15,15,0.4,0.4,0.38461538461538464,0.3333333333333333,0.3571428571428571,0.3973214285714285,0.5511111111111111,7,8,10,5,0.5353458643247369,0.046204468945208535,0.43333333333333335
BRI_EP63,30,4,26,0.8,0.5673076923076923,0.25,0.25,0.25,0.5673076923076923,0.42307692307692313,23,3,3,1,0.43405242998921684,0.11213970976741257,0.13333333333333333
LS_EP9,30,20,10,0.7,0.65,0.7619047619047619,0.8,0.7804878048780488,0.6534017971758665,0.55,5,5,4,16,0.5536873252879059,0.05754848337061208,0.7
YW_EP44,30,14,16,0.7,0.6875,0.7777777777777778,0.5,0.6086956521739131,0.6827262044653348,0.6383928571428572,14,2,7,7,0.5201549960885729,0.07127636145115535,0.3
AN_EP22,28,18,10,0.5714285714285714,0.6444444444444445,0.875,0.3888888888888889,0.5384615384615385,0.5692307692307692,0.5722222222222222,9,1,11,7,0.5360361702208009,0.038376659698849215,0.2857142857142857
YW_EP53,27,13,14,0.6296296296296297,0.6318681318681318,0.6,0.6923076923076923,0.6428571428571429,0.6291208791208791,0.5714285714285714,8,6,4,9,0.5373604704883784,0.07116548587383997,0.5555555555555556
LS_EP73,26,9,17,0.5769230769230769,0.49346405228758167,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.48468468468468473,0.8235294117647058,13,4,7,2,0.5013580758082412,0.105230840905595,0.23076923076923078
LS_EP7,26,14,12,0.5384615384615384,0.5416666666666667,0.5833333333333334,0.5,0.5384615384615384,0.5384615384615384,0.5892857142857143,7,5,7,7,0.5528784546878311,0.07318313154851093,0.46153846153846156
AN_EP16,26,12,14,0.6538461538461539,0.6607142857142857,0.6,0.75,0.6666666666666665,0.6533333333333333,0.738095238095238,8,6,3,9,0.5504884726785224,0.10802748262555104,0.5769230769230769
YW_EP45,26,19,7,0.7307692307692307,0.7255639097744361,0.875,0.7368421052631579,0.7999999999999999,0.6941176470588235,0.6917293233082706,5,2,5,14,0.5524153718772608,0.08744696712556815,0.6153846153846154
YW_EP47,25,18,7,0.6,0.503968253968254,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.503968253968254,0.5714285714285715,2,5,5,13,0.5886436383856668,0.1006534109368568,0.72
YW_EP56,25,19,6,0.44,0.5745614035087719,0.8571428571428571,0.3157894736842105,0.46153846153846156,0.4391025641025641,0.4298245614035088,5,1,13,6,0.5348630601437319,0.06648971674844438,0.28
LS_EP72,25,16,9,0.52,0.6006944444444444,0.8333333333333334,0.3125,0.45454545454545453,0.512987012987013,0.48611111111111105,8,1,11,5,0.5103996855810091,0.061643790965916385,0.24
LS_EP4,25,16,9,0.64,0.6215277777777778,0.7333333333333333,0.6875,0.7096774193548386,0.6179966044142614,0.5486111111111112,5,4,5,11,0.542949081937472,0.07538612429431972,0.6
BRI_EP59,24,11,13,0.5833333333333334,0.5524475524475525,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.4957983193277311,0.6153846153846154,12,1,9,2,0.4995520127377911,0.0715434388922161,0.125
LS_EP10,24,15,9,0.5833333333333334,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.6,4,5,5,10,0.5733703410459889,0.09807327500074339,0.625
BRI_EP60,24,14,10,0.5833333333333334,0.6285714285714286,0.8333333333333334,0.35714285714285715,0.5,0.5714285714285714,0.5357142857142857,9,1,9,5,0.49686444885141795,0.08045497679502175,0.25
LS_EP13,24,13,11,0.625,0.6398601398601399,0.75,0.46153846153846156,0.5714285714285714,0.6190476190476191,0.6503496503496503,9,2,7,6,0.5297245948264996,0.08691142524518164,0.3333333333333333
YW_EP55,24,16,8,0.75,0.65625,0.75,0.9375,0.8333333333333334,0.6666666666666667,0.71875,3,5,1,15,0.5639889023631377,0.08998223071836776,0.8333333333333334
AN_EP15,24,12,12,0.6666666666666666,0.6666666666666667,0.625,0.8333333333333334,0.7142857142857143,0.6571428571428571,0.826388888888889,6,6,2,10,0.5742730798012523,0.10279447695288907,0.6666666666666666
LS_EP11,24,15,9,0.6666666666666666,0.6888888888888889,0.8181818181818182,0.6,0.6923076923076923,0.6643356643356644,0.5555555555555556,7,2,6,9,0.558674496181664,0.08006607765462445,0.4583333333333333
AN_EP21,24,18,6,0.625,0.75,1.0,0.5,0.6666666666666666,0.6190476190476191,0.6388888888888888,6,0,9,9,0.5373468328060376,0.09233705365166966,0.375
AN_EP18,23,15,8,0.391304347826087,0.35833333333333334,0.5384615384615384,0.4666666666666667,0.5,0.3611111111111111,0.41666666666666663,2,6,8,7,0.5627997974338739,0.07422600634600271,0.5652173913043478
BRI_EP64,23,8,15,0.5217391304347826,0.42916666666666664,0.2,0.125,0.15384615384615385,0.41025641025641024,0.42500000000000004,11,4,7,1,0.5240716291402562,0.056461736833010374,0.21739130434782608
YW_EP49,22,8,14,0.4090909090909091,0.4017857142857143,0.2727272727272727,0.375,0.3157894736842105,0.3978947368421052,0.3482142857142857,6,8,5,3,0.5827663617700467,0.10713357761547344,0.5
LS_EP14,22,11,11,0.5454545454545454,0.5454545454545454,0.5384615384615384,0.6363636363636364,0.5833333333333334,0.5416666666666667,0.49586776859504134,5,6,4,7,0.5505876863205974,0.0924498049840158,0.5909090909090909
YW_EP43,22,15,7,0.5909090909090909,0.5476190476190476,0.7142857142857143,0.6666666666666666,0.689655172413793,0.5448275862068965,0.5714285714285715,3,4,5,10,0.580042026718221,0.08983272819958288,0.6363636363636364
LS_EP12,22,16,6,0.7727272727272727,0.7395833333333333,0.8666666666666667,0.8125,0.8387096774193549,0.7270471464019851,0.6041666666666666,4,2,3,13,0.545465043345184,0.06520422403378869,0.6818181818181818
LS_EP5,22,8,14,0.7727272727272727,0.7678571428571428,0.6666666666666666,0.75,0.7058823529411765,0.7603485838779956,0.7589285714285714,11,3,2,6,0.5306145559093266,0.02665323569277253,0.4090909090909091
SB_EP37,21,8,13,0.47619047619047616,0.40865384615384615,0.2,0.125,0.15384615384615385,0.38726790450928383,0.4807692307692307,9,4,7,1,0.4999360846233071,0.07762142894117216,0.23809523809523808
AN_EP19,21,15,6,0.47619047619047616,0.5333333333333333,0.75,0.4,0.5217391304347827,0.471395881006865,0.3666666666666667,4,2,9,6,0.5327643421603169,0.040905057654990216,0.38095238095238093
YW_EP70,21,5,16,0.8095238095238095,0.66875,0.6666666666666666,0.4,0.5,0.6911764705882353,0.7250000000000001,15,1,3,2,0.3849669763763475,0.12267904311813783,0.14285714285714285
LS_EP3,20,14,6,0.5,0.5952380952380952,0.8333333333333334,0.35714285714285715,0.5,0.5,0.369047619047619,5,1,9,5,0.5364565848842973,0.03222197271123468,0.3
YW_EP48,20,11,9,0.65,0.6616161616161615,0.75,0.5454545454545454,0.631578947368421,0.6491228070175439,0.7474747474747474,7,2,5,6,0.5293300733833559,0.08877032462851825,0.4
SB_EP41,20,15,5,0.65,0.7,0.9,0.6,0.7200000000000001,0.6266666666666667,0.4666666666666667,4,1,6,9,0.5705990212026333,0.08133549229031248,0.5
SB_EP35,19,8,11,0.3157894736842105,0.3068181818181818,0.2222222222222222,0.25,0.23529411764705882,0.3081232492997199,0.10227272727272725,4,7,6,2,0.5582001341190952,0.08995452271931,0.47368421052631576
YW_EP52,19,8,11,0.42105263157894735,0.3977272727272727,0.2857142857142857,0.25,0.26666666666666666,0.39420289855072466,0.6363636363636364,6,5,6,2,0.5231623279495645,0.09309638552347141,0.3684210526315789
BRI_EP66,19,3,16,0.7368421052631579,0.4375,0.0,0.0,0.0,0.42424242424242425,0.24999999999999997,14,2,3,0,0.4724718296070993,0.08284162385062237,0.10526315789473684
LS_EP2,19,11,8,0.8421052631578947,0.8465909090909092,0.9,0.8181818181818182,0.8571428571428572,0.8403361344537816,0.8068181818181819,7,1,2,9,0.5373141106208762,0.0892639371174896,0.5263157894736842
YW_EP46,18,8,10,0.3333333333333333,0.3375,0.3,0.375,0.33333333333333326,0.33333333333333326,0.2375,3,7,5,3,0.5454225189891863,0.1327551887492361,0.5555555555555556
BRI_EP65,18,8,10,0.5,0.4625,0.3333333333333333,0.125,0.18181818181818182,0.4109090909090909,0.5875,8,2,7,1,0.5031855065434697,0.06807224991210989,0.16666666666666666
AN_EP17,18,10,8,0.5,0.525,0.6,0.3,0.4,0.4857142857142857,0.55,6,2,7,3,0.4965752564015842,0.06659582044133952,0.2777777777777778
LS_EP76,18,4,14,0.8333333333333334,0.8035714285714286,0.6,0.75,0.6666666666666665,0.7777777777777777,0.8928571428571429,12,2,1,3,0.4898206642426459,0.09617127624337433,0.2777777777777778
LS_EP6,17,7,10,0.23529411764705882,0.2,0.0,0.0,0.0,0.1904761904761905,0.2857142857142857,4,6,7,0,0.5214972120748849,0.06779780308303207,0.35294117647058826
AN_EP24,17,14,3,0.11764705882352941,0.20238095238095238,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.11764705882352941,0.40476190476190477,1,2,13,1,0.5031884429334593,0.07952579134636206,0.17647058823529413
SB_EP29,17,10,7,0.4117647058823529,0.4357142857142857,0.5,0.3,0.37499999999999994,0.4097222222222222,0.4285714285714286,4,3,7,3,0.49381410171087387,0.0792451705031347,0.35294117647058826
LS_EP1,17,9,8,0.5882352941176471,0.5902777777777778,0.625,0.5555555555555556,0.5882352941176471,0.5882352941176471,0.4444444444444445,5,3,4,5,0.5409267030718947,0.08107682188045656,0.47058823529411764
AN_EP26,17,5,12,0.8235294117647058,0.8166666666666667,0.6666666666666666,0.8,0.7272727272727272,0.7984189723320158,0.65,10,2,1,4,0.5312540747552247,0.05041909707649149,0.35294117647058826
AN_EP28,17,6,11,0.8823529411764706,0.8333333333333333,1.0,0.6666666666666666,0.8,0.8583333333333334,0.7272727272727273,11,0,2,4,0.48329753856532043,0.06808690972633806,0.23529411764705882
AN_EP27,16,6,10,0.6875,0.65,0.6,0.5,0.5454545454545454,0.6536796536796536,0.8,8,2,3,3,0.5283493902120325,0.07424084474214936,0.3125
AN_EP20,16,11,5,0.6875,0.7181818181818183,0.875,0.6363636363636364,0.7368421052631579,0.6761133603238867,0.6909090909090909,4,1,4,7,0.537696946784854,0.06418361658160933,0.5
SB_EP34,15,11,4,0.3333333333333333,0.38636363636363635,0.6,0.2727272727272727,0.37499999999999994,0.33035714285714285,0.2727272727272727,2,2,8,3,0.5250639661263538,0.0699531752848173,0.3333333333333333
SB_EP31,15,7,8,0.4,0.4017857142857143,0.375,0.42857142857142855,0.39999999999999997,0.39999999999999997,0.42857142857142855,3,5,4,3,0.5277954163138198,0.058544616691455824,0.5333333333333333
SB_EP36,15,9,6,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6606334841628959,0.5,4,2,3,6,0.5921352417806468,0.08072766516544078,0.5333333333333333
YW_EP51,15,9,6,0.8,0.75,0.75,1.0,0.8571428571428571,0.7619047619047619,0.5925925925925926,3,3,0,9,0.5768574892433863,0.08186681412164792,0.8
YW_EP54,14,7,7,0.6428571428571429,0.6428571428571428,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.641025641025641,0.4897959183673469,5,2,3,4,0.5196771404877001,0.0760902582080561,0.42857142857142855
SB_EP32,13,10,3,0.38461538461538464,0.25,0.625,0.5,0.5555555555555556,0.2777777777777778,0.2666666666666667,0,3,5,5,0.57617353366299,0.08119099794442128,0.6153846153846154
LS_EP75,13,10,3,0.6153846153846154,0.75,1.0,0.5,0.6666666666666666,0.606060606060606,0.7666666666666667,3,0,5,5,0.5531068915644517,0.0968336853145718,0.38461538461538464
AN_EP25,11,8,3,0.36363636363636365,0.5625,1.0,0.125,0.2222222222222222,0.3418803418803419,0.7083333333333334,3,0,7,1,0.5202632946433958,0.05560681590081354,0.09090909090909091
SB_EP33,9,3,6,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,0.30769230769230765,0.3888888888888889,4,2,3,0,0.54712495298455,0.11124892576820138,0.2222222222222222
AN_EP23,8,0,8,1.0,1.0,,,0.0,0.5,,8,0,0,0,0.4376466831192374,0.07091538873496268,0.0
SB_EP38,6,4,2,0.5,0.625,1.0,0.25,0.4,0.48571428571428577,0.75,2,0,3,1,0.5128004667896127,0.03843759171420165,0.16666666666666666
